BENZOL WASHER INLET GAS TEMP,BENZOL WASHER  INLET OIL TEMP,RICH OIL FLOW(M3/hr),DISTILLATION COLUMN MIDDLE TEMP,STEAM FLOW TO REGENERATOR (T/hr),STEAM TEMP TO REGENERTOR ,DISTILLATION COLUMN TOP TEMP,DISTILLATION COLUMN BOTTOM TEMP,PRODUCTION (TON),PRODUCT TEMP,PIPEHEATER MIDDLE TEMP,STEAM INLET TEMP TO PIPEHEATER
27.16,0,61.9,95.82,2.34,353.73,94.12,167.23,28.21,34.59,411.63,148.1
26.41,0,61.8,94.21,2.35,351.66,94.96,167.72,28.04,34.4,412.36,145.3
25.42,0,62.22,94.62,2.33,353.48,94.25,168.48,28.04,35.21,412.59,146.08
26.92,0,61.51,94.29,2.36,346.94,93.95,168.56,27.51,33.12,409.32,145.38
26.32,0,61.5,95.09,2.34,343.26,93.92,168.6,27.18,31.76,405.5,146.75
26.54,0,62.3,95.66,2.36,343.23,93.69,167.85,27.86,31.29,406.13,146.23
25.7,0,61.37,94.11,2.36,342.29,93.74,167.72,24.51,31.26,406.2,148.33
25.95,0,62.31,96.15,2.37,342.83,93.54,169.69,26.54,32.01,405.43,148.2
26.37,0,62.39,95.79,2.37,341.78,93.92,169.1,25.48,31.81,402.58,148.04
26.44,0,62.39,95.3,2.38,342.62,94.31,163.42,26.8,31.8,406.39,148.29
26.9,0,62.02,95.57,2.35,347.25,94.09,170.39,27.07,31.91,402.41,147.12
26.49,0,62.36,95.69,2.28,345.8,94,168.31,26.54,31.32,408.2,144.6
26.63,0,61.98,95.43,2.34,317.69,94.32,167.36,26.54,30.93,406.81,148.23
26.62,0,62.01,95.08,2.36,348,94.46,163.21,26.18,30.85,405.95,143.2
26.25,0,62.18,95.9,2.39,353.71,94.31,168.18,26.63,30.79,402.08,148.1
26.11,0,62.16,96.78,2.38,349.88,94.22,169,28.3,31.95,400.88,149.75
25.84,0,62.12,95.4,2.37,348.84,94.14,168.62,27.6,31.47,399.69,148.9
25.54,0,62.09,94.99,2.37,349.38,93.89,169.96,27.69,31.34,410.12,148.5
25.56,0,62.04,94.82,3.36,346.76,93.91,169.75,27.96,32,401.27,149.12
26.62,0,62.31,95.31,2.37,348.11,94.05,169.17,28.12,31.94,399.04,149.64
25.67,0,62.02,94.37,2.37,341.32,94,169.03,27.77,30.19,405.34,148.42
25.59,0,62.3,95.04,2.38,342.1,94.07,170.2,28.3,31.83,402.5,149.69
25.64,0,62.16,94.64,2.36,348.13,93.36,168.18,27.7,31.78,401.56,148
