LOWER COND TEMP AT INELT',LOWER COND TEMP AT OUTLET,UPPER COND TEMPE AT INELT,UPPER COND TEMPE AT OUTLET,BENZOL WASHER INLET GAS TEMP,BENZOL WASHER  OUTLET GAS TEMP,BENZOL WASHER  INLET OIL TEMP,BENZOL WASHER RESISTANCE,RICH OIL FLOW(M3/hr),RICH OIL INLET TEMP TO PIPEHEATER,RICH OIL PRESSURE AT PIPEHEATER INLET,RICH OIL OUTLET TEMP FROM  PIPEHEATER,RICH OIL PRESSURE AT PIPEHEATER OUTLET,PIPEHEATER MIDDLE TEMP,STEAM INLET TEMP TO PIPEHEATER,STEAM OUTLET TEMP FROM PIPEHEATER,COG FLOW TO PIPEHEATER,COG PRESSURE TO PIPEHEATER,STEAM FLOW TO REGENERATOR (T/hr),STEAM TEMP TO REGENERTOR ,DISTILLATION COLUMN TOP TEMP,DISTILLATION COLUMN BOTTOM TEMP,PRODUCTION (TON),PRODUCT TEMP,CRUDE BENZENE AT <75 C, BENZOL (BTX),Benzene ,Production ,Dispatch,yield  (Dry basis),QI,Moisture,Density ,Dry basis,wet basis ,Actual ,Dry basis,Consumer(from FMD),Flare(Flow meter),Tot Gas to Battry,SAP production,0,SAP production
0,0,0,0,0,32.9,39.78,1.94,51.89,99.48,0.26,133,0.16,0,-36.27,0,2.27,0.26,99.14,25.97,297.2,0,0,0,0,0,39.78,90,200,2.962610863,1.77,1.5,1.18,3037.861,3281.18,1051584,346.1593536,0,0,0,74,2.435924488,28
0,0,0,0,0,31.54,30.6,1.92,61.18,112.44,0.29,145.22,0.13,0,-37.72,0,2.41,0.31,174.93,37.19,314.32,0,0,0,0,0,30.6,90,350,2.929343264,1.8,1.35,1.18,3072.361,3332.66,1001064,325.8288984,0,0,0,75,2.441119387,27
0,0,0,0,0,31.8,31.94,2.1,61.61,127.33,0.29,160.2,0.13,0,-38.13,0,2.38,0.3,181.34,30.99,331.9,0,0,0,0,0,31.94,90,145,2.929996523,1.47,1.4,1.18,3071.676,3328.14,1004688,327.0813719,0,0,0,75,2.441663769,27
0,0,0,0,0,30.19,30.4,2,61.55,132.22,0.29,164.96,0.14,0,-37.73,0,2.37,0.31,183.46,34.14,338.62,0,0,0,0,0,30.4,90,0,2.924782396,1.34,1.4,1.18,3077.152,3350.25,1004784,326.5305061,0,0,0,75,2.437318663,27
0,0,0,0,0,30.41,30.85,1.88,61.96,130.37,0.29,162.49,0.14,0,-36.26,0,2.36,0.3,183.13,38.69,336.39,0,0,0,0,0,30.85,90,75,2.916996855,1.9,1.4,1.18,3085.365,3330.71,1001736,324.6734179,0,0,0,75,2.430830712,27
0,0,0,0,0,30.32,30.69,2.2,60.43,128.76,0.29,160.82,0.14,0,-34.72,0,2.35,0.31,182.81,38.96,333.02,0,0,0,0,0,30.69,90,40,2.941465811,2.23,5,1.18,3059.699,3281.59,1007880,329.4049513,0,0,0,75,2.451221509,28
0,0,0,0,0,30.29,30.79,2.11,61.82,130.37,0.29,163.3,0.14,0,-36.04,0,2.46,0.32,183.87,38.43,334.8,0,0,0,0,0,30.79,78.38709677,73.22580645,2.606035565,2.126666667,1.608333333,1.179333333,3009.692516,3267.22871,1005920.516,334.3826574,7577.806452,103.7096774,177860.7097,72.58064516,2.412343432,22.06451613
0,0,0,0,0,30.7,30.99,2.05,61.66,129.73,0.29,162.46,0.14,0,-37.21,0,2.35,0.32,182.91,39.76,331.4,0,0,0,0,0,30.99,2430,2270,80.7871025,63.8,48.25,35.38,93300.468,101284.09,31183536,10365.86238,234912,3215,5513682,2250,74.78264638,684
0,0,0,0,0,30.25,30.9,1.96,61.53,130.37,0.29,163.51,0.14,0,-38.49,0,2.37,0.31,182.64,40.11,327.42,0,0,0,0,0,30.9,0,0,0,0,0,0,0,0,41913.35484,0,0,0,7410.862903,0,0,0
0,0,0,0,0,30.9,31.13,2,60.49,130.34,0.3,163.32,0.14,0,-40.41,0,2.38,0.31,191.45,40.95,324.33,0,0,0,0,0,31.13,0,0,0,0,0,0,0,0,0,0,34502.49194,0,0,0,0,0
0,0,0,0,0,30.41,30.69,1.96,62.25,130.31,0.29,163.41,0.14,0,-39.53,0,2.36,0.32,182.69,38.71,331.35,0,0,0,0,0,30.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,29.83,30.09,1.83,61.59,129.31,0.29,163.13,0.14,0,-41.17,0,2.3,0.32,183.87,37.65,332.9,0,0,0,0,0,30.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,30.16,30.2,2.02,62.11,130.07,0.3,163.36,0.14,0,-41.39,0,2.38,0.3,185.58,38.17,334.86,0,0,0,0,0,30.2,90,0,2.938132719,1.98,6.8,1.17,3063.17,3319.72,995496,324.9888188,0,0,2049,75,2.448443932,28
0,0,0,0,0,30.54,30.21,2.1,61.6,129.56,0.3,162.84,0.14,0,-41.33,0,2.36,0.3,183.31,39.03,328.51,0,0,0,0,0,30.21,0,20,0,1.68,1.6,1.17,3051.09,3347.15,1016184,333.0560554,0,9300,215342,75,2.458137911,28
0,0,0,0,0,30.48,30.77,2.11,61.25,129.2,0.3,162.11,0.14,0,-40.14,0,2.37,0.3,184.35,39.37,328.29,0,0,0,0,0,30.77,90,0,3.005871469,1.71,1.3,1.18,2994.14,3274.6,1022880,341.627312,0,9300,214541,78,2.605088606,29
0,0,0,0,0,30.7,30.19,2.41,61.7,130.24,0.3,163.22,0.14,0,-39.29,0,2.37,0.3,184.64,38.94,331.09,0,0,0,0,0,30.19,90,0,3.020336935,0,1.2,1.18,2979.8,3291.34,1026912,344.6244714,0,9350,213435,78,2.617625344,30
